,0,1
0,δῆμος,14979
1,θεός,13267
2,πόλις,12561
3,ἄλλος,11026
4,ἔτος,9281
5,βουλή,7875
6,ἔχω,6723
7,υἱός,6261
8,εἰμί,6229
9,αὐτός,6069
10,ἄρχω,5996
11,μείς,5943
12,δοκέω,5934
13,δίδωμι,5796
14,ποιέω,5397
15,πᾶς,5332
16,χαίρω,5308
17,ἀγαθός,5307
18,οὗτος,5272
19,γίγνομαι,5045
20,ἀνήρ,4832
21,Ἀπόλλων,4815
22,δραχμή,4526
23,ἀνατίθημι,4472
24,ἱερόν,4217
25,βασιλεύς,4086
26,γυνή,4058
27,χάρις,4042
28,Ζεύς,4009
29,ἱερεύς,3930
30,et,3844
31,σεβαστός,3752
32,μέγας,3492
33,αὐτοκράτωρ,3482
34,ἄρχων,3389
35,νόμος,3369
36,Καῖσαρ,3332
37,εὐεργέτης,3327
38,λέγω,3288
39,ἴδιος,3224
40,ἱερός,3178
41,τιμή,3097
42,Διονύσιος,3087
43,ψήφισμα,3044
44,ὁλκή,3038
45,φιάλη,2893
46,Ἀπολλώνιος,2875
47,μήτηρ,2843
48,τὶς,2838
49,πατήρ,2782
50,Ἀθηναῖος,2757
51,χρύσεος,2757
52,στήλη,2627
53,στέφανος,2591
54,Δελφοί,2570
55,θυγάτηρ,2565
56,ἀργύριον,2553
57,τίθημι,2527
58,δεῖνα,2504
59,ταμίας,2488
60,ἀποδίδωμι,2433
61,ἀρετή,2428
62,μνᾶ,2419
63,μνήμη,2412
64,πολύς,2401
65,παῖς,2363
66,ἀναγράφω,2354
67,κοινός,2321
68,κύριος,2289
69,γῆ,2267
70,πρῶτος,2254
71,ἕκαστος,2241
72,γραμματεύς,2231
73,στεφανόω,2151
74,ὠνή,2137
75,φίλος,2113
76,ἀνάθημα,2090
77,ἔκγονος,2046
78,εὔνοια,2042
79,ὄνομα,2031
80,ἐπαινέω,2029
81,πρυτανεία,2013
82,χρηστός,2001
83,τυγχάνω,1997
84,ἀγών,1968
85,τόπος,1957
86,τέκνον,1915
87,χρόνος,1912
88,Μᾶρκος,1908
89,ἐλεύθερος,1900
90,τύχη,1889
91,ἵστημι,1818
92,καλός,1816
93,πατρίς,1806
94,βούλομαι,1744
95,Ἡρακλέης,1743
96,ὑπάρχω,1740
97,οἰκία,1734
98,στεφάνωι,1669
99,στρατηγός,1657
100,πολίτης,1646
101,ὄις,1641
102,βίος,1620
103,ἡμέρα,1599
104,γάιος,1598
105,θυσία,1582
106,λοιπός,1581
107,ἕτερος,1574
108,ὁλ,1572
109,διατελέω,1529
110,ἀλέξανδρος,1516
111,ἰός,1511
112,γράφω,1495
113,πρόξενος,1493
114,παρέχω,1492
115,στατήρ,1487
116,ζῶ,1469
117,ὅδε,1444
118,Κλαύδιος,1443
119,δεύτερος,1436
120,χρυσός,1419
121,σῶμα,1415
122,πρότερος,1413
123,σωτήρ,1401
124,ἅπας,1385
125,λίθινος,1376
